interval_start_timestamp,total_membership
2021-10-11T00:00:00+00:00,674
2021-10-12T00:00:00+00:00,1291
2021-10-13T00:00:00+00:00,3285
2021-10-14T00:00:00+00:00,3285
2021-10-15T00:00:00+00:00,3645
2021-10-16T00:00:00+00:00,3819
2021-10-17T00:00:00+00:00,3941
