interval_start_timestamp,platform,participators
2021-10-20T00:00:00+00:00,'Desktop Only',1409
2021-10-20T00:00:00+00:00,'Desktop and Mobile',1394
2021-10-20T00:00:00+00:00,'Mobile Only',563
