"Qual foi o tipo de atividade aprovada? / ¿Cuál atividad fue aprobada?","Idioma","Pessoa com necessidades específicas:","Se você marcou ""Sim"" na pergunta anterior, quais recursos de acessibilidade você vai precisar?","Como você se identifica?","Faz parte da população T (Pessoa Transgênera, Travesti)?","Orientação sexual:","Como você se define?","Em qual UF você reside?","Essa é a sua primeira vez participando da Python Brasil?","Você já ministrou atividades em uma edição da Python Brasil?","Se sim, em quais das edições?","Já ministrou alguma atividade em algum outro evento?","Se sim, sinalize abaixo: [Meetups e eventos locais]","Se sim, sinalize abaixo: [Eventos com até 200 pessoas]","Se sim, sinalize abaixo: [Eventos com até 1000 pessoas]","Se sim, sinalize abaixo: [Eventos  com mais de 1000 pessoas]","Se sim, sinalize abaixo: [Eventos internacionais]","Se sim, sinalize abaixo: [Eventos online]","Você programa em Python?","Essa palestra tem coautoria?","Nível do conteúdo:","Escolha até 3 palavras chave. A primeira palavra chave deve representar a área que a sua palestra está inserida (Ex: Testes, IA, Pessoas, Carreira)","Trilha"
"Palestra / Charla","Português","Não",,"Homem","Não","Bissexual","Uma pessoa parda","PE","Sim","Não",,"Não",,,,,,,"Programo em Python há mais de cinco anos","Não","Intermediário (alguma experiência prévia com um framework, biblioteca ou técnica específica)","Django, Customização","Timnit Gebru"
"Palestra / Charla","Português","Sim","Ajuda para ler perguntas no chat. Tenho baixa visão e normalmente os chats tem fontes pequenas, o quê dificultam a leitura no meio da apresentação.","Mulher","Não","Lésbica","Uma pessoa branca","RS","Não","Não",,"Sim","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, uma vez","Sim, várias vezes","Sim, várias vezes","Programo em Python há mais de três anos","Não","Intermediário (alguma experiência prévia com um framework, biblioteca ou técnica específica)","Testes,  factory_boy, django","Timnit Gebru"
"Palestra / Charla","Português","Não",,"Homem","Não","Hétero","Uma pessoa negra","RJ","Não","Não",,"Sim","Sim, uma vez","Sim, uma vez","Sim, uma vez",,"Sim, uma vez","Sim, uma vez","Programo em Python há mais de dez anos","Sim","Intermediário (alguma experiência prévia com um framework, biblioteca ou técnica específica)","Django, Fullstack, Rest Framework","Timnit Gebru"
"Palestra / Charla","Português","Não",,"Homem","Não","Hétero","Uma pessoa parda","MG","Sim","Não",,"Sim","Sim, várias vezes","Sim, várias vezes",,,"Sim, uma vez","Sim, várias vezes","Programo em Python há mais de cinco anos","Não","Intermediário (alguma experiência prévia com um framework, biblioteca ou técnica específica)","IA, Detecção de Anomalias, Clusterização","Timnit Gebru"
"Palestra / Charla","Português","Não",,"Mulher","Não","Hétero","Uma pessoa amarela","SP","Sim","Não",,"Sim","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes",,,"Sim, várias vezes","Programo em Python há mais de três anos","Sim","Intermediário (alguma experiência prévia com um framework, biblioteca ou técnica específica)","Machine Learning Engineering, Data Science, Deploy de modelos de Machine Learning","Timnit Gebru"
"Tutorial","Português","Não",,"Mulher","Não","Hétero","Uma pessoa parda","SC","Não","Sim","Em 2018, Em 2020","Sim","Sim, várias vezes","Sim, várias vezes","Sim, uma vez",,"Sim, uma vez","Sim, várias vezes","Programo em Python há mais de três anos",,,,
"Tutorial","Português","Não",,"Homem","Não","Hétero","Uma pessoa branca","RJ","Sim","Não",,"Sim","Sim, várias vezes","Sim, várias vezes",,,,,"Programo em Python há mais de cinco anos",,,,
"Tutorial","Português","Não",,"Homem","Não","Hétero","Uma pessoa branca","PA","Sim","Não",,"Sim","Sim, várias vezes","Sim, várias vezes","Sim, uma vez",,,"Sim, várias vezes","Programo em Python há mais de três anos",,,,
"Tutorial","Português","Não",,"Homem","Não","Hétero","Uma pessoa branca","SP","Não","Sim","Em 2017 ou anos anteriores, Em 2020","Sim","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Programo em Python há mais de dez anos",,,,
"Tutorial","Português","Não",,"Homem","Não","Hétero","Uma pessoa branca","SP","Não","Sim","Em 2017 ou anos anteriores, Em 2018, Em 2019","Sim","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Programo em Python há mais de dez anos",,,,
"Tutorial","Português","Não",,"Mulher","Não","Lésbica","Uma pessoa negra","CE","Sim","Não",,"Não",,,,,,,"Programo em Python há mais de três anos",,,,
"Tutorial","Português","Não",,"Homem","Não","Prefiro não responder","Uma pessoa branca","SP","Não","Sim","Em 2019, Em 2020","Sim","Sim, várias vezes","Sim, várias vezes","Sim, uma vez","Sim, uma vez","Sim, uma vez","Sim, várias vezes","Programo em Python há mais de cinco anos",,,,
"Tutorial","Português","Não",,"Mulher","Não","Hétero","Uma pessoa parda","MT","Não","Sim","Em 2020","Sim","Sim, várias vezes","Sim, várias vezes",,"Sim, várias vezes",,"Sim, uma vez","Programo em Python há mais de um ano",,,,
"Tutorial","Português","Não",,"Mulher","Não","Prefiro não responder","Uma pessoa parda","Não moro no Brasil.","Sim","Não",,"Sim","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Sim, várias vezes","Programo em Python há mais de três anos",,,,
"Tutorial","Português","Não",,"Homem","Não","Bissexual","Uma pessoa negra","MG","Sim","Não",,"Sim",,,,,"Sim, uma vez",,"Programo em Python há mais de três anos",,,,
"Tutorial","Português","Não",,"Homem","Não","Bissexual","Uma pessoa parda","RS","Não","Não",,"Sim","Sim, várias vezes",,,,"Sim, várias vezes","Sim, várias vezes","Programo em Python há mais de um ano",,,,
"Tutorial","Português","Não",,"Homem","Não","Gay","Uma pessoa negra","RN","Não","Não",,"Sim","Sim, uma vez",,,,,,"Programo em Python há mais de três anos",,,,
"Tutorial","Português","Não",,"Homem","Não","Hétero","Uma pessoa parda","PE","Sim","Não",,"Sim",,,,,,"Sim, várias vezes","Programo em Python há mais de um ano",,,,
"Tutorial","Português","Não",,"Homem","Não","Hétero","Uma pessoa branca","RS","Não","Sim","Em 2020","Sim","Sim, várias vezes","Sim, várias vezes",,,"Sim, várias vezes","Sim, várias vezes","Programo em Python há mais de cinco anos",,,,
"Tutorial","Português","Não",,"Homem","Não","Hétero","Uma pessoa branca","SP","Não","Sim","Em 2017 ou anos anteriores, Em 2019","Sim","Sim, várias vezes","Sim, várias vezes",,,,"Sim, várias vezes","Programo em Python há mais de dez anos",,,,
