como_voce_se_define,como_voce_se_define_se_outro,como_voce_se_indentifica,como_voce_se_indentifica_se_outro,faz_parte_da_populacao_t,orientaca_sexual,orientaca_sexual_se_outro,pessoa_com_necessidade_especifica,pessoa_com_necessidade_especifica_se_sim_qual,uf,pais,edicoes_anteriores_pybr,eventos_pybr,eventos_online,programa_em_python,nivel_python,estudante,trabalha_com_python,parte_de_alguma_comunidade,comunidade_qual
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Não sei programar / No,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Sim / Sí,PyLadies Salvador
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Salvador
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Salvador
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Lésbica / Lesbiana,,Não / No,,RJ,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Rural
Uma pessoa negra / Persona negra,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,SP,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies RP;Grupy RP
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,RJ,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Rio de Janeiro
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,RJ,Brasil,Python Brasil [11] - 2015 - São José dos Campos - SP,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Rio de Janeiro
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Prefiro não responder / Prefiero no decirlo,,Não / No,,SP,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Ribeirão Preto;Grupy-RP
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Prefiro não responder / Prefiero no decirlo,,Não / No,,SP,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Não / No,Não sei programar / No,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Sim / Sí,PyLadies Ribeirão Preto; PyLadies Sul de Minas
Uma pessoa negra / Persona negra,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,PE,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Recife;PUG-PE
Uma pessoa negra / Persona negra,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,PE,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Recife;PUG-PE
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,PE,Brasil,Python Brasil 2020 - Online,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales",Sim / Sí,Há mais de um ano / Hace más de un año,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Recife;PUG PE
Uma pessoa negra / Persona negra,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,PE,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de três anos / Hace más de tres años,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Recife
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,PE,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [12] - 2016 - Florianópolis - SC,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales",Não / No,Há mais de cinco anos / Hace más de cinco años,Avançado / Avanzado,Não / No,Sim / Sí,Sim / Sí,PyLadies Recife
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Gay,,Não / No,,PE,Brasil,Python Brasil 2020 - Online,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,Não / No,Sim / Sí,Sim / Sí,PyLadies Recife
Uma pessoa negra / Persona negra,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,PE,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Sim / Sí,PyLadies Recife
Uma pessoa negra / Persona negra,,Mulher / Mujer,,Não / No,Prefiro não responder / Prefiero no decirlo,,Não / No,,RS,Brasil,Python Brasil [14] - 2018 - Natal - RN | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Não sei programar / No,Nulo :D,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Não / No,Sim / Sí,PyLadies Porto Alegre
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,PI,Brasil,Python Brasil 2020 - Online,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Parnaíba
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,PI,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Sim / Sí,PyLadies Parnaíba
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,PB,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Sim / Sí,PyLadies Paraíba
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,PB,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Não / No,Sim / Sí,PyLadies Paraíba
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Lésbica / Lesbiana,,Não / No,,SP,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Avançado / Avanzado,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Sim / Sí,PyLadies Paraíba
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,PB,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Paraíba
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,PB,Brasil,Python Brasil 2020 - Online,"Sim, eventos internacionais / Sí, eventos internacionales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Paraíba
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,PB,Brasil,Python Brasil 2020 - Online,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Nordeste
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,BA,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Nordeste
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Pansexual,,Não / No,,Fora da America Latina / Fuera de América Latina,Canadá,Python Brasil [14] - 2018 - Natal - RN | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,"Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Natal;PyLadies Brasil
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,SC,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,Não / No,Sim / Sí,Sim / Sí,PyLadies Natal;GrupyRN
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,RN,Brasil,Python Brasil [14] - 2018 - Natal - RN | Python Brasil 2020 - Online,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Iniciante / Inicial,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Sim / Sí,PyLadies Natal;Grupy RN
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Lésbica / Lesbiana,,Não / No,,RN,Brasil,Python Brasil [14] - 2018 - Natal - RN | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Natal
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,RN,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Não sei programar / No,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Natal
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Prefiro não responder / Prefiero no decirlo,,Colombia,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,Não / No,"Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Medellin
Prefiro não responder / Prefiero no decirlo,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,Colombia,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Sim / Sí,PyLadies Medellin
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,AM,,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Manaus
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,AM,,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de três anos / Hace más de tres años,Intermediário / Intermedio,Não / No,Sim / Sí,Sim / Sí,PyLadies Manaus
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,AM,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Avançado / Avanzado,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Sim / Sí,PyLadies Manaus
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,RJ,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de um ano / Hace más de un año,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Macae
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,GO,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Não / No,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Goiânia
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,SP,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Intermediário / Intermedio,Não / No,Sim / Sí,Sim / Sí,PyLadies Fortaleza;PUG-CE
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,CE,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales",Sim / Sí,Há mais de um ano / Hace más de un año,Iniciante / Inicial,Não / No,"Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Fortaleza
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,CE,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Fortaleza
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,CE,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Fortaleza
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,CE,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Fortaleza
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,CE,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Intermediário / Intermedio,"Sim, pós-graduação ou especialização / Sí, máster posgrado",Sim / Sí,Sim / Sí,PyLadies Fortaleza
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,SC,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil 2020 - Online,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado",Sim / Sí,Sim / Sí,PyLadies Floripa
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Lésbica / Lesbiana,,Sim / Sí,Transtorno Neurodesenvolvimento (TDAH e Autismo),DF,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies DF
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,Fora da America Latina / Fuera de América Latina,Irlanda,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Intermediário / Intermedio,Não / No,Sim / Sí,Sim / Sí,PyLadies DF
Uma pessoa branca / Persona blanca,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,DF,Brasil,Python Brasil 2020 - Online,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)",Sim / Sí,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,Não / No,Sim / Sí,PyLadies DF
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,SC,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil [11] - 2015 - São José dos Campos - SP | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10],"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales",Sim / Sí,Há mais de dez anos / Hace más de diez años,Avançado / Avanzado,Não / No,Sim / Sí,Sim / Sí,PyLadies Curitiba
Uma pessoa branca / Persona blanca,,Homem / Hombre,,Não / No,Hétero,,Não / No,,SC,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil [11] - 2015 - São José dos Campos - SP | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10],"Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales",Sim / Sí,Há mais de dez anos / Hace más de diez años,Avançado / Avanzado,Não / No,Sim / Sí,Sim / Sí,PyLadies Curitiba
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Bissexual / Bisexual,,Não / No,,PR,Brasil,Python Brasil 2020 - Online,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,Há mais de um ano / Hace más de un año,Iniciante / Inicial,Não / No,Sim / Sí,Sim / Sí,PyLadies Curitiba
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,Bolivia,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Sim / Sí,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,"Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Cochabamba
Uma pessoa indígena / Persona indígena,,Homem / Hombre,,Não / No,Hétero,,Não / No,,Bolivia,,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Não / No,"Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes",Iniciante / Inicial,"Sim, ensino fundamental ou médio / Sí, instituto","Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Cochabamba
Uma pessoa negra / Persona negra,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,SP,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python",Não / No,Há mais de três anos / Hace más de tres años,Avançado / Avanzado,Não / No,Sim / Sí,Sim / Sí,PyLadies Brasil;Afropython
Uma pessoa parda / Persona mestiza,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,SC,Brasil,Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN | Python Brasil [13] - 2017 - Belo Horizonte - MG | Python Brasil [12] - 2016 - Florianópolis - SC | Python Brasil 2020 - Online,"Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales",Sim / Sí,Há mais de cinco anos / Hace más de cinco años,Avançado / Avanzado,Não / No,Sim / Sí,Sim / Sí,PyLadies Brasil
Uma pessoa negra / Persona negra,,Mulher / Mujer,,Não / No,Hétero,,Não / No,,CE,Brasil,É a minha primeira vez no evento! / Es mi primera vez,"Sim, eventos locais / Sí, eventos locales",Não / No,Comecei no último ano / Empecé en el último ano,Iniciante / Inicial,Não / No,"Não, mas pretendo / No, pero quiero",Sim / Sí,PyLadies Brasil
