interval_start_timestamp,speaking_minutes
2021-10-11T00:00:00+00:00,3803
2021-10-12T00:00:00+00:00,2464
2021-10-13T00:00:00+00:00,2083
2021-10-14T00:00:00+00:00,2048
2021-10-15T00:00:00+00:00,2716
2021-10-16T00:00:00+00:00,4289
2021-10-17T00:00:00+00:00,4062
