"data_do_pedido","quantidade","nvel_de_preo","tipo_de_ingresso","grupo","tipo_do_pedido","moeda","total_pago","taxas_pagas","taxas_da_eventbrite","processamento_de_pagamentos_da_eventbrite","status_do_participante","como_voc_se_define__cmo_te_defines","como_voc_se_identifica__cmo_te_identificas_","faz_parte_da_populao_t_pessoa_transgnera_travesti__eres_parte_de_la_poblacin_transgnero_","orientao_sexual__orientacin_sexual","pessoa_com_necessidades_especficas__persona_con_necesidades_especiales_","em_qual_uf_voc_reside__dnde_vives_","de_quais_edies_da_python_brasil_voc_j_participou__cules_ediciones_de_python_brasil_ya_asistiese","voc_j_participou_de_algum_outro_evento_python__has_participado_de_alguno_otro_evento_de_la_comunidad_python","voc_participou_de_outros_eventos_online_durante_a_pandemia_de_covid19__has_participado_de_otros_eventos_en_lnea_durante_la_pandemia_de_covid19","voc_programa_em_python__programas_con_python_","como_voc_classificaria_seu_nvel_de_conhecimento_em_python__cmo_clasificas_tu_nivel_de_conocimiento_en_python_","voc__estudante__eres_estudiante","voc_trabalha_com_python__trabajas_con_python_","voc_faz_parte_de_alguma_comunidade_local_grupy_pug_pyladies_afropython__haces_parte_de_alguna_comunidad_grupy_pug_pyladies_afropython_","tamanho_de_camiseta","de_qual_tutorial_voc_ir_participar_os_tutoriais_sero_exclusivamente_presenciais","regras_adicionais_sobre_tutoriais__leia_atentamente","aplicabilidade_do_ingresso","termo_de_consentimento_para_tratamento_de_dados_pessoais__consentimiento_al_tratamiento_de_datos_personales","direitos_de_contedo_e_imagem","cdigo_conduta__cdigo_conducta","se_outro_qual__cul","se_outro_qual__cul1","se_outro_qual__cul2","se_sim_qual__cul","em_qual_pas_voc_reside__cul_pas","se_sim_qual__cul1","localidade"
"2024-09-17 16:43:27-03:00","1","","Ingresso Geral (lote 2)","","Eventbrite Concluído","BRL","594.0","44.0","44.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Mulher / Mujer","Não / No","Bissexual / Bisexual","Não / No","RJ","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No","P - largura 50 cm x comprimento 67 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-10-07 11:54:59-03:00","1","","Tutorial - 16 OU 17 DE OUTUBRO (conforme seleção)","","Pedido grátis","BRL","0.0","0.0","0.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Mulher / Mujer","Não / No","Bissexual / Bisexual","Não / No","RJ","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No","","Mapeando Raça e Território: Análise de Dados Geográfico - 17/10 - MANHÃ - das 10h às 13h","accepted","accepted","accepted","accepted","accepted","","","","","","",""
"2024-10-11 15:31:23-03:00","1","","Ingresso Geral (lote 3) - 18, 19 E 20 DE OUTUBRO","","Eventbrite Concluído","BRL","604.8","44.8","44.8","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Assexual / Asexual","Não / No","RJ","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de um ano / Hace más de un año","Intermediário / Intermedio","Não / No","Sim / Sí","Não / No","G - largura 58 cm x comprimento 77 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-10-03 13:52:44-03:00","1","","Ingresso Geral (lote 3) - 18, 19 E 20 DE OUTUBRO","","Eventbrite Concluído","BRL","756.0","56.0","56.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","RJ","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No","M - largura 54 cm x comprimento 72 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-08-23 20:53:02-03:00","1","","Ingresso Geral (lote 2)","","Eventbrite Concluído","BRL","594.0","44.0","44.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Mulher / Mujer","Não / No","Hétero","Não / No","SP","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de cinco anos / Hace más de cinco años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No","PP - largura 47 cm x comprimento 63 cm","","","","accepted","accepted","accepted","","","","","","",""
"2024-10-18 10:16:02-03:00","1","","Ingresso Online - APENAS TRANSMISSÃO REMOTA","","Pedido grátis","BRL","0.0","0.0","0.0","0.0","Participando","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","MG","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Há mais de cinco anos / Hace más de cinco años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No","","","","","accepted","accepted","accepted","","","","","","",""
"2024-10-11 15:31:23-03:00","1","","Ingresso Geral (lote 3) - 18, 19 E 20 DE OUTUBRO","","Eventbrite Concluído","BRL","604.8","44.8","44.8","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Mulher / Mujer","Não / No","Bissexual / Bisexual","Não / No","RJ","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)","Sim / Sí","Há mais de três anos / Hace más de tres años","Intermediário / Intermedio","Não / No","Sim / Sí","Sim / Sí","G - largura 58 cm x comprimento 77 cm","","","","accepted","accepted","accepted","","","","","","PyLadies",""
"2024-10-11 15:31:23-03:00","1","","Ingresso Geral (lote 3) - 18, 19 E 20 DE OUTUBRO","","Eventbrite Concluído","BRL","604.8","44.8","44.8","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","RJ","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Há mais de um ano / Hace más de un año","Intermediário / Intermedio","Não / No","Sim / Sí","Não / No","G - largura 58 cm x comprimento 77 cm","","","","Accepted","Accepted","Accepted","","","","","","",""
"2024-07-22 11:06:54-03:00","1","","Ingresso Online - APENAS TRANSMISSÃO REMOTA","","Pedido grátis","BRL","0.0","0.0","0.0","0.0","Participando","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","RJ","Python Brasil 2021 - Online","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Há mais de cinco anos / Hace más de cinco años","Iniciante / Inicial","Não / No","Não / No","Não / No","Ingresso online","","","","accepted","accepted","accepted","","","","","","",""
"2024-07-16 21:12:18-03:00","1","","Ingresso Meia-Entrada (lote 1)","","Eventbrite Concluído","BRL","216.0","16.0","16.0","0.0","Fez check-in","Uma pessoa branca / Persona blanca","Homem / Hombre","Não / No","Hétero","Não / No","RJ","Python Brasil [12] - 2016 - Florianópolis - SC","Sim, eventos locais / Sí, eventos locales","Não / No","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No","G - largura 58 cm x comprimento 77 cm","","","","accepted","accepted","accepted","","","","","","",""
