interval_start_timestamp,speaking_minutes
2020-11-01T00:00:00+00:00,506
2020-11-02T00:00:00+00:00,2996
2020-11-03T00:00:00+00:00,1674
2020-11-04T00:00:00+00:00,1336
2020-11-05T00:00:00+00:00,2152
2020-11-06T00:00:00+00:00,4919
2020-11-07T00:00:00+00:00,8204
2020-11-08T00:00:00+00:00,4964
