,Quantidade,Tipo de ingresso,Status do participante,Como você se define,"Se outro, qual?",Como você se identifica?,"Se outro, qual?.1","Faz parte da população T (pessoa transgênera, travesti)?",Orientação sexual:,"Se outro, qual?.2",Pessoa com necessidades específicas?,"Se sim, qual?",Em qual UF você reside?,Em qual país você reside?,De quais edições da Python Brasil você já participou?,Você já participou de algum outro evento Python?,Você participou de outros eventos online durante a pandemia de covid-19?,Há quanto tempo você programa em Python?,Como você classificaria seu nível de conhecimento em Python?,Você é estudante?,Você trabalha com Python?,"Você pretende submeter alguma atividades (palestra, tutorial) para a Python Brasil?","Você faz parte de alguma comunidade local? (grupy, PUG, PyLadies, AfroPython)","Se sim, qual?.1","A Python Brasil possui um Código de Conduta (https://python.org.br/cdc) para assegurar que todas as pessoas se sintam confortáveis e seguras em seus ambientes. Para participar do evento, é necessário que você esteja ciente e respeite essas orientações."
1047,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,RS,,Python Brasil 2019 - Ribeirão Preto - SP,"Sim, eventos locais | Sim, eventos internacionais",Sim,Há mais de cinco anos,Avançado,Não,Sim,Com certeza!,Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1048,1.0,Lote Único,Participando,Prefiro não responder,,Prefiro não responder,,Prefiro não responder,Prefiro não responder,,Prefiro não responder,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de dez anos,Avançado,Não,Sim,"Não, vou apenas para participar",Sim,Data Lovers,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1049,1.0,Lote Único,Participando,Uma pessoa amarela,Amarelo,Homem,,Não,Gay,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1050,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SC,,É a minha primeira vez no evento!,"Sim, eventos locais",Não,Comecei no último ano,Intermediário,Não,Sim,"Não, vou apenas para participar",Sim,Grupy,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1051,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,Não,Sim,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1052,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1053,1.0,Lote Único,Participando,Uma pessoa parda,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1054,1.0,Lote Único,Participando,Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Nulo :D,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1055,1.0,Lote Único,Participando,Uma pessoa negra,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Sim,PyLadies ,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1056,1.0,Lote Único,Participando,Uma pessoa parda,,Homem,,Não,Hétero,,Não,,PR,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo",Não,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1057,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,DF,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,Não,Sim,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1058,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,DF,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Não sei programar,Nulo :D,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1059,1.0,Lote Único,Participando,Outro,,Homem,,Não,Hétero,,Não,,MG,,Python Brasil 2019 - Ribeirão Preto - SP,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Sim,Open knowledge Brasil,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1060,1.0,Lote Único,Participando,Uma pessoa branca,,Mulher,,Não,Lésbica,,Não,,RS,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1061,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SC,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Há mais de três anos,Intermediário,"Sim, graduação ou tecnólogo",Sim,"Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1062,1.0,Lote Único,Participando,Uma pessoa negra,,Homem,,Não,Hétero,,Não,,MG,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1063,1.0,Lote Único,Participando,Uma pessoa branca,,Homem,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,Comecei no último ano,Iniciante,"Sim, graduação ou tecnólogo","Não, mas pretendo",Com certeza!,Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1064,1.0,Lote Único,Participando,Uma pessoa parda,,Mulher,,Não,Hétero,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Não,Comecei no último ano,Iniciante,Não,"Não, mas pretendo","Não, vou apenas para participar",Sim,PyLadies,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1065,1.0,Lote Único,Participando,Uma pessoa parda,,Homem,,Não,Hétero,,Não,,RN,,Python Brasil [14] - 2018 - Natal - RN,"Sim, eventos locais",Não,Há mais de três anos,Intermediário,"Sim, pós-graduação ou especialização","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1066,1.0,Lote Único,Participando,Uma pessoa parda,,Homem,,Não,Hétero,,Não,,RN,,É a minha primeira vez no evento!,"Sim, eventos locais",Sim,"Não programo em Python, mas sei programar em outras linguagens",Iniciante,Não,"Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
1067,1.0,Lote Único,Participando,Uma pessoa parda,,Homem,,Não,Pansexual,,Não,,SP,,É a minha primeira vez no evento!,"Não, esse é meu primeiro evento da linguagem Python",Sim,Há mais de um ano,Intermediário,"Sim, graduação ou tecnólogo","Não, mas pretendo","Não, vou apenas para participar",Não,,Declaro que li e me comprometo a respeitar o Código de Conduta do evento.
