interval_start_timestamp,total_membership
2022-10-17T00:00:00+00:00,525
2022-10-18T00:00:00+00:00,575
2022-10-19T00:00:00+00:00,623
2022-10-20T00:00:00+00:00,706
2022-10-21T00:00:00+00:00,852
2022-10-22T00:00:00+00:00,864
2022-10-23T00:00:00+00:00,876
2022-10-24T00:00:00+00:00,873
2022-10-25T00:00:00+00:00,871
2022-10-26T00:00:00+00:00,873
2022-10-27T00:00:00+00:00,873
