"tipo_ingresso","como_voce_se_define","como_voce_se_define_se_outro","como_voce_se_indentifica","como_voce_se_indentifica_se_outro","faz_parte_da_populacao_t","orientaca_sexual","orientaca_sexual_se_outro","pessoa_com_necessidade_especifica","pessoa_com_necessidade_especifica_se_sim_qual","uf","pais","edicoes_anteriores_pybr","eventos_pybr","eventos_online","programa_em_python","nivel_python","estudante","trabalha_com_python","parte_de_alguma_comunidade","comunidade_qual"
"Ingresso Online","Uma pessoa amarela",,"Homem / Hombre",,"Prefiro não responder / Prefiero no decirlo","Hétero",,"Não / No",,"MG","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Não / No","Não / No","Não / No",
"Ingresso Online","Uma pessoa parda / Persona mestiza",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Há mais de um ano / Hace más de un año","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","Python Brasil 2020 - Online","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Prefiro não responder / Prefiero no decirlo",,"Não / No",,"PR","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Não sei programar / No","Iniciante / Inicial","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa negra / Persona negra",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SC","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes","Nulo :D","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"DF","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)","Sim / Sí","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Sim, pós-graduação ou especialização / Sí, máster posgrado","Sim / Sí","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SC","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Sim, ensino técnico / S´i, bachirellato","Sim / Sí","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes","Iniciante / Inicial","Não / No","Sim / Sí","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"RJ","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Não / No","Sim / Sí","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","Python Brasil 2020 - Online","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Há mais de um ano / Hace más de un año","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"SC","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos internacionais / Sí, eventos internacionales","Não / No","Não sei programar / No","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero","Sim / Sí","PyLadies"
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"MG","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Comecei no último ano / Empecé en el último ano","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AL","Brasil","Python Brasil 2020 - Online | Python Brasil 2021 - Online","Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)","Sim / Sí","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"MG","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes","Iniciante / Inicial","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Prefiro não responder / Prefiero no decirlo",,"Prefiro não responder / Prefiero no decirlo",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Comecei no último ano / Empecé en el último ano","Intermediário / Intermedio","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa negra / Persona negra",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"MA","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Não sei programar / No","Iniciante / Inicial","Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"RN","Brasil","Python Brasil 2020 - Online | Python Brasil [14] - 2018 - Natal - RN | Python Brasil 2021 - Online","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)","Sim / Sí","Há mais de cinco anos / Hace más de cinco años","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Sim / Sí","Grupy"
"Ingresso Online","Uma pessoa amarela",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SC","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Não programo em Python, mas sei programar em outras linguagens / No programo en Python, todavia sé programar en otras lenguajes","Iniciante / Inicial","Não / No","Não / No","Não / No",
"Ingresso Online","Prefiro não responder / Prefiero no decirlo",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"MA","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Não / No","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Online","Uma pessoa parda / Persona mestiza",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SC","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Não sei programar / No","Iniciante / Inicial","Não / No","Não / No","Não / No",
"Ingresso Online","Uma pessoa parda / Persona mestiza",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"CE","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Sim / Sí","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Sim, pós-graduação ou especialização / Sí, máster posgrado","Não, mas pretendo / No, pero quiero","Não / No",
