"tipo_ingresso","como_voce_se_define","como_voce_se_define_se_outro","como_voce_se_indentifica","como_voce_se_indentifica_se_outro","faz_parte_da_populacao_t","orientaca_sexual","orientaca_sexual_se_outro","pessoa_com_necessidade_especifica","pessoa_com_necessidade_especifica_se_sim_qual","uf","pais","edicoes_anteriores_pybr","eventos_pybr","eventos_online","programa_em_python","nivel_python","estudante","trabalha_com_python","parte_de_alguma_comunidade","comunidade_qual"
"Ingresso Meia-Entrada (lote 1)","Uma pessoa parda / Persona mestiza",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AP","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Não, esse é meu primeiro evento da linguagem Python / No, es mi primer evento de la comunidad Python","Não / No","Comecei no último ano / Empecé en el último ano","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Não, mas pretendo / No, pero quiero","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Comecei no último ano / Empecé en el último ano","Iniciante / Inicial","Não / No","Não / No","Não / No",
"Ingresso Geral (lote 1)","Prefiro não responder / Prefiero no decirlo",,"Prefiro não responder / Prefiero no decirlo",,"Prefiro não responder / Prefiero no decirlo","Prefiro não responder / Prefiero no decirlo",,"Prefiro não responder / Prefiero no decirlo",,"RN","Brasil","Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [14] - 2018 - Natal - RN","Sim, eventos locais / Sí, eventos locales","Não / No","Há mais de cinco anos / Hace más de cinco años","Intermediário / Intermedio","Não / No","Sim / Sí","Sim / Sí","dojorio"
"Ingresso Meia-Entrada (lote 1)","Uma pessoa negra / Persona negra",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","Python Brasil 2019 - Ribeirão Preto - SP","Sim, eventos locais / Sí, eventos locales","Não / No","Há mais de três anos / Hace más de tres años","Intermediário / Intermedio","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No",
"Ingresso Meia-Entrada (lote 1)","Uma pessoa parda / Persona mestiza",,"Mulher / Mujer",,"Não / No","Hétero",,"Não / No",,"AM","Brasil","Python Brasil 2020 - Online","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)","Sim / Sí","Há mais de cinco anos / Hace más de cinco años","Avançado / Avanzado","Sim, pós-graduação ou especialização / Sí, máster posgrado","Sim / Sí","Sim / Sí","PyLadies Manaus"
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Prefiro não responder / Prefiero no decirlo",,"Não / No",,"MG","Brasil","Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [11] - 2015 - São José dos Campos - SP | Python Brasil [10] - 2014 - Porto de Galinhas - Pernambuco | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10]","Sim, eventos internacionais / Sí, eventos internacionales","Não / No","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"RJ","Brasil","Python Brasil [14] - 2018 - Natal - RN | Edições anteriores à Python Brasil [10] / Ediciones anteriores a Python Brasil [10]","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia) | Sim, eventos internacionais / Sí, eventos internacionales","Sim / Sí","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"MA","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos locais / Sí, eventos locales | Sim, eventos regionais (Python Nordeste, Python Cerrado, Python Sul, etc) / Sí, eventos regionales (PyCon Latam, PyCon Bolivia)","Sim / Sí","Há mais de cinco anos / Hace más de cinco años","Avançado / Avanzado","Sim, graduação ou tecnólogo / Sí, grado","Sim / Sí","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa branca / Persona blanca",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SC","Brasil","É a minha primeira vez no evento! / Es mi primera vez","Sim, eventos locais / Sí, eventos locales","Não / No","Há mais de três anos / Hace más de tres años","Intermediário / Intermedio","Não / No","Sim / Sí","Não / No",
"Ingresso Geral (lote 1)","Uma pessoa negra / Persona negra",,"Homem / Hombre",,"Não / No","Hétero",,"Não / No",,"SP","Brasil","Python Brasil 2019 - Ribeirão Preto - SP | Python Brasil [11] - 2015 - São José dos Campos - SP | Python Brasil 2021 - Online","Sim, eventos locais / Sí, eventos locales","Sim / Sí","Há mais de dez anos / Hace más de diez años","Avançado / Avanzado","Não / No","Sim / Sí","Não / No",
