interval_start_timestamp,platform,participators
2022-10-26T00:00:00+00:00,'Desktop Only',282
2022-10-26T00:00:00+00:00,'Desktop and Mobile',241
2022-10-26T00:00:00+00:00,'Mobile Only',102
